id,industry,company_name
4,"Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > NONRESIDENTIAL CONSTRUCTION, NEC",SALON LEFLEUR
4,"Agriculture, Forestry, And Fishing > AGRICULTURAL PRODUCTION - LIVESTOCK AND ANIMAL SPECIALTIES > BEEF CATTLE FEEDLOTS",ACUSA TECHNOLOGIES LLC
4,"Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > NONRESIDENTIAL CONSTRUCTION, NEC",ECUMENICAL HOUSE LEHIGH VALLEY
4,Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > INDUSTRIAL BUILDINGS AND WAREHOUSES,STONE BROKERS OF TEXAS
4,"Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > NONRESIDENTIAL CONSTRUCTION, NEC","671 POPLAR, LLC"
4,"Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > NONRESIDENTIAL CONSTRUCTION, NEC","LEVEL11, LLC"
4,"Agriculture, Forestry, And Fishing > AGRICULTURAL PRODUCTION - CROPS > CASH GRAINS, NEC",BEECHCROFT CYCLES
4,Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > INDUSTRIAL BUILDINGS AND WAREHOUSES,CAIRO DESIGN GROUP INC
4,"Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > NONRESIDENTIAL CONSTRUCTION, NEC",BUDDY DOYLES DIAGNOSTIC CAR
4,"Agriculture, Forestry, And Fishing > AGRICULTURAL PRODUCTION - LIVESTOCK AND ANIMAL SPECIALTIES > ANIMAL SPECIALTIES, NEC",BOANERGES SEAFOOD CO
4,"Agriculture, Forestry, And Fishing > AGRICULTURAL PRODUCTION - CROPS > CASH GRAINS, NEC",AZHARI LLC
4,"Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > NONRESIDENTIAL CONSTRUCTION, NEC",BELLA MANOR
4,Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > INDUSTRIAL BUILDINGS AND WAREHOUSES,EDWARD L METZGER
4,"Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > NONRESIDENTIAL CONSTRUCTION, NEC",ANNE LOUISE HEADLEY AGT
4,"Agriculture, Forestry, And Fishing > AGRICULTURAL PRODUCTION - CROPS > CITRUS FRUITS",WEEDSRUS
4,"Construction > BUILDING CNSTRCTN - GENERAL CONTRACTORS & OPERATIVE BUILDERS > NONRESIDENTIAL CONSTRUCTION, NEC",DONALD E TSAI MD
